rndrng_npi,rndrng_prvdr_city,rndrng_prvdr_state_abrvtn,rndrng_prvdr_type,avg_mdcr_alowd_amt,avg_mdcr_pymt_amt,avg_mdcr_stdzd_amt,tot_benes,tot_bene_day_srvcs
1124164496,East Syracuse,NY,Physical Therapist in Private Practice,98.120229885,71.887011494,74.18862069,77.0,87.0
1922254275,New York,NY,Emergency Medicine,199.71066667,178.628,148.452,15.0,15.0
1104803436,Miami Beach,FL,Interventional Radiology,100.61846154,80.323333333,78.953589744,16.0,22.0
1871576157,Tampa,FL,Diagnostic Radiology,36.483214286,36.483214286,36.29,140.0,140.0
1124360359,New York,NY,Internal Medicine,213.28357143,133.61,114.25857143,14.0,14.0
1548266976,Bowling Green,KY,Gastroenterology,14.374666667,14.374666667,14.28,12.0,15.0
1972733699,Wilkes Barre,PA,Endocrinology,94.396290323,64.955766129,67.773669355,200.0,248.0
1467448548,Cincinnati,OH,Radiation Oncology,79.288378378,61.826216216,63.977297297,34.0,37.0
1558460485,Solon,OH,Internal Medicine,59.134722222,41.526388889,48.641759259,89.0,108.0
1760621346,Rockville,MD,Critical Care (Intensivists),48.411428571,38.601428571,35.0,14.0,14.0
1447462841,Steamboat Springs,CO,Urology,32.836315789,23.416842105,23.057368421,19.0,19.0
1417218850,Sun City Center,FL,Family Practice,126.16337838,85.087567568,86.506351351,45.0,74.0
1013238591,Staten Island,NY,Family Practice,112.8070977,90.557097701,80.32,67.0,348.0
1053301440,Spokane,WA,Urology,378.05066667,301.56466667,308.59133333,15.0,15.0
1477530095,Rochester,MN,Physician Assistant,152.85396226,121.5045283,121.15754717,43.0,53.0
1558715896,Greenville,SC,Family Practice,21.373125,15.99875,17.69625,16.0,16.0
1821368085,Brooklyn,NY,Anesthesiology,136.28888889,106.77166667,99.30037037,54.0,54.0
1902870033,Fort Wayne,IN,Diagnostic Radiology,483.16642857,385.24642857,421.35,14.0,14.0
1609053701,Fallbrook,CA,Family Practice,38.537222222,29.041666667,25.622777778,16.0,18.0
1568437952,Ottumwa,IA,Chiropractic,38.153450413,25.914628099,27.077128099,69.0,484.0
1346285517,Texarkana,AR,Ophthalmology,17.895922619,13.564970238,15.07,128.0,169.0
1861488017,Jonesboro,AR,Internal Medicine,13.457333333,13.457333333,13.36,15.0,15.0
1134397177,Livonia,MI,Internal Medicine,202.4945283,162.89801887,156.6504717,99.0,106.0
1700271004,Phoenix,AZ,Internal Medicine,192.36487805,146.76402439,148.85390244,82.0,82.0
1841431087,Johnson City,TN,Certified Registered Nurse Anesthetist (CRNA),117.29823529,93.590588235,97.75,17.0,17.0
1790770139,Cape Girardeau,MO,Internal Medicine,9.4979941577,9.4979941577,9.52,439.0,1027.0
1427049667,Portland,ME,Diagnostic Radiology,8.5476470588,4.6411764706,4.6285294118,30.0,32.0
1912635970,Fort Lauderdale,FL,Physical Therapist in Private Practice,102.89,81.98,80.32,15.0,15.0
1215976006,Wilmington,NC,Hospitalist,102.42792683,82.047926829,82.48,81.0,82.0
1730605692,Oldsmar,FL,Physical Therapist in Private Practice,24.53443038,19.548227848,19.689746835,13.0,68.0
1295184620,Raleigh,NC,Physical Therapist in Private Practice,23.494904552,17.606563877,17.54164464,126.0,608.0
1316042104,Ridgefield,CT,Internal Medicine,138.27635135,92.051891892,84.677162162,52.0,74.0
1841248267,Lawrence,KS,Cardiology,23.904482759,16.763448276,17.255172414,29.0,29.0
1013918283,Yorba Linda,CA,Family Practice,146.26574257,146.26574257,129.89,101.0,101.0
1477780351,Denver,CO,Diagnostic Radiology,89.486363636,71.616363636,67.83,31.0,33.0
1902058100,Palmetto Bay,FL,Certified Registered Nurse Anesthetist (CRNA),98.6675,78.8025,70.363125,16.0,16.0
1659025492,Bridgewater,MA,Physical Therapist in Private Practice,31.643770287,24.814307116,23.982322097,108.0,684.0
1518907955,Spring Hill,FL,Centralized Flu,275.85826087,275.85826087,274.81478261,23.0,23.0
1740208966,Macon,GA,Endocrinology,14.510588235,14.510588235,14.41,15.0,17.0
1013119528,Cortland,NY,Orthopedic Surgery,88.933417722,57.89556962,59.327974684,59.0,79.0
1851480537,Stamps,AR,Pharmacy,35.2,35.2,39.2,26.0,26.0
1174546410,Rockville,MD,Internal Medicine,34.65,34.65,16.62,59.0,59.0
1063433936,Columbia,SC,Dermatology,52.56855919,35.734345794,38.492266355,984.0,1284.0
1528044781,Englewood,CO,Diagnostic Radiology,90.125,62.4,58.371,30.0,30.0
1336144617,Rock Springs,WY,Ambulatory Surgical Center,655.81222222,519.65740741,554.35259259,27.0,27.0
1194703207,Southfield,MI,Neurology,73.62,58.94,55.89,29.0,96.0
1336439322,Knoxville,TN,Nurse Practitioner,102.78941667,66.247041667,71.138583333,127.0,240.0
1013053859,Hialeah,FL,Cardiology,406.58142105,324.36815789,322.31952632,93.0,95.0
1649705252,East Patchogue,NY,Family Practice,17.169963942,13.702079327,13.594170673,17.0,26.0
1699799528,Ithaca,NY,Cardiology,58.515925926,46.694259259,48.614305556,54.0,54.0
1679538557,Kettering,OH,Internal Medicine,13.8034375,8.9365625,9.376875,31.0,32.0
1215282421,Los Angeles,CA,Diagnostic Radiology,8.5453846154,5.7992307692,5.28,11.0,11.0
1043314826,Philadelphia,PA,Mass Immunizer Roster Biller,68.315342466,68.315342466,68.225616438,73.0,73.0
1760597611,Seattle,WA,Diagnostic Radiology,41.254288618,41.254288618,37.31,492.0,492.0
1457641086,Los Angeles,CA,Diagnostic Radiology,113.83767442,86.938837209,77.613488372,42.0,43.0
1679862437,Lakeville,MA,Mass Immunizer Roster Biller,70.25,70.25,70.25,60.0,60.0
1871666057,Santa Barbara,CA,Optometry,121.55846154,83.750769231,76.856153846,13.0,13.0
1659726644,Norwalk,CT,Diagnostic Radiology,34.483636364,27.474545455,25.304545455,11.0,11.0
1841291135,Clinton,NC,Urology,378.715,297.31571429,312.66428571,14.0,14.0
1275597858,Eau Claire,WI,Pulmonary Disease,22.381111111,14.615555556,15.263703704,26.0,81.0
1417937418,Bogart,GA,Diagnostic Radiology,28.307619048,21.475238095,20.871428571,20.0,21.0
1225355829,Saint Paul,MN,Medical Oncology,100.19459459,80.264594595,80.32,16.0,37.0
1225053317,Philadelphia,PA,Emergency Medicine,125.01571429,109.02942857,105.68885714,66.0,70.0
1447230784,Houston,TX,Licensed Clinical Social Worker,78.513614458,59.860120482,57.732545181,63.0,664.0
